"gene","moduleMembership","GS.trait","moduleName"
"Mydgf",0.828997447142896,-0.489861371691573,"brown"
"Naa38",0.91319380010241,-0.441346114181546,"brown"
"Ndufa13",0.893271805254196,-0.499468356846942,"brown"
"Ndufa2",0.828090319617516,-0.454384248960428,"brown"
"Ndufa4",0.853973814443606,-0.35864790493489,"brown"
"Ndufa5",0.835621901617374,-0.541588758717378,"brown"
"Ndufa6",0.880125465475233,-0.518328902219222,"brown"
"Ndufa9",0.809436910460633,-0.575761998932417,"brown"
"Ndufb10",0.907059133504824,-0.494599755118592,"brown"
"Ndufb2",0.919696678477959,-0.445323817914044,"brown"
"Ndufb3",0.861018766727189,-0.496706221489378,"brown"
"Ndufb4",0.848667493594814,-0.383823778062665,"brown"
"Ndufb6",0.906656674073458,-0.429986152244094,"brown"
"Ndufb8",0.858593470183741,-0.295122882337315,"brown"
"Ndufb9",0.872746091783231,-0.595128631228689,"brown"
"Ndufs2",0.844117667051009,-0.424598917147844,"brown"
"Ndufs3",0.907219807918856,-0.534952974490644,"brown"
"Ndufs4",0.892891550287565,-0.510283208846176,"brown"
"Ndufs5",0.899113462814849,-0.361576180876543,"brown"
"Ndufs7",0.857355845435768,-0.43370587238721,"brown"
"Ndufs8",0.814364613786593,-0.518668795523258,"brown"
"Nme2",0.896639135121083,-0.421264641520764,"brown"
"Nupr2",0.806443473280009,-0.367980665883178,"brown"
"Oaz1",0.91288486522729,-0.608360316417965,"brown"
"Oxct1",0.826106412975567,-0.273255918797492,"brown"
"Pa2g4",0.818949894935947,-0.571180406729922,"brown"
"Park7",0.850632185976745,-0.519405773581526,"brown"
"Phb1",0.901788694745841,-0.541371215783761,"brown"
"Phpt1",0.808705359371347,-0.534113413302818,"brown"
"Pin4",0.809258381796429,-0.645400639376304,"brown"
"Plaat3",0.916974266937408,-0.581190599367674,"brown"
"Pnkd",0.882667494743478,-0.498830971903875,"brown"
"Polr2e",0.813973374533374,-0.441546497452251,"brown"
"Polr2j",0.863550363671992,-0.444874201600071,"brown"
"Polr2m",0.886468639979281,-0.474169155495275,"brown"
"Pomp",0.868968264971916,-0.538422112908895,"brown"
"Pqbp1",0.809304146925214,-0.469019448340535,"brown"
"Prdx5",0.817775451962972,-0.290385090876683,"brown"
"Psap",0.875971060633052,-0.609901380619362,"brown"
"Psma4",0.871256662248736,-0.425525732133124,"brown"
"Psma6",0.852664687776352,-0.49297394637801,"brown"
"Psma7",0.821394092736626,-0.336729984306576,"brown"
"Psmb3",0.858808731760651,-0.394365690751841,"brown"
"Psmb4",0.861755229785651,-0.380813928952398,"brown"
"Psmb5",0.933657897750786,-0.390525505109896,"brown"
"Psmb6",0.894530798406712,-0.519582565401062,"brown"
"Psmb7",0.855198609089243,-0.302264852051762,"brown"
"Psmc2",0.847370761998608,-0.415122349498644,"brown"
"Psmc4",0.80988437277063,-0.297464694441006,"brown"
"Psmd14",0.839174511802536,-0.262286867135934,"brown"
"Psmd6",0.867706301890037,-0.490450450566176,"brown"
"Psmd7",0.802624784628322,-0.291295317961746,"brown"
"Psme1",0.884622548661959,-0.624208437203065,"brown"
"Ptges2",0.814772802163182,-0.576591758189765,"brown"
"Rab5if",0.90484856993465,-0.32401363596363,"brown"
"Ran",0.839333088131834,-0.297539615218961,"brown"
"Rbx1",0.879710242479267,-0.414137174116736,"brown"
"Rnh1",0.821542205062239,-0.608500398911275,"brown"
"Rpn2",0.840657565429989,-0.467310936678288,"brown"
"Rps14-ps7",0.825453784023189,-0.340309516676896,"brown"
"Scp2",0.839605078431548,-0.445636530565781,"brown"
"Sdf4",0.801189153401752,-0.524128060038289,"brown"
"Sdhb",0.867847217679759,-0.618162271273462,"brown"
"Serf2",0.888950370096606,-0.496195818726525,"brown"
"Sirt5",0.84648686225765,-0.264297790923927,"brown"
"Skic8",0.847538937145196,-0.326443306635466,"brown"
"Skp1",0.907341119893246,-0.352063003866844,"brown"
"Slc25a3",0.873715855328711,-0.427613140519934,"brown"
"Slirp",0.809719402577374,-0.338111754087426,"brown"
"Smdt1",0.873747172498049,-0.447376085916736,"brown"
"Smpd1",0.864015501652276,-0.329399210876215,"brown"
"Snf8",0.810928985682539,-0.331879223699149,"brown"
"Srp14",0.82663864627501,-0.272272484007144,"brown"
"Ssu72",0.858532951260491,-0.316799521346311,"brown"
"Suclg1",0.821765365059091,-0.271696113856833,"brown"
