"gene","moduleMembership","GS.trait","moduleName"
"Clba1",0.824017728363236,-0.38361123626963,"blue"
"Clpb",0.896851947966637,-0.317161231458651,"blue"
"Clpp",0.839419289315673,-0.241889176918065,"blue"
"Cops6",0.822230690932915,-0.296102974059047,"blue"
"Csnk1d",0.856654734527889,-0.222400433717207,"blue"
"Csnk1g2",0.886500094187763,-0.348142651329269,"blue"
"Dbil5",0.807907426279881,-0.201160538405525,"blue"
"Dctn2",0.808628809876324,-0.4137324920792,"blue"
"Dnaja4",0.811111919186165,-0.367187778882057,"blue"
"Dnajb8",0.951889907070836,-0.283459445134808,"blue"
"Dnpep",0.815385330309488,-0.417114201167657,"blue"
"Edf1",0.853462426499188,-0.271851405817699,"blue"
"Eif3l",0.82021038321619,-0.342388896531383,"blue"
"Eif4e",0.812501268865779,-0.382313897377136,"blue"
"Eif5a",0.83711571970144,-0.260467961992062,"blue"
"Elof1",0.821376981078738,-0.39436419641413,"blue"
"Eri3",0.815757100508519,-0.4971846642725,"blue"
"Fam187b",0.968714415565007,-0.313462975290174,"blue"
"Fis1",0.832353403878878,-0.354061240653929,"blue"
"Fkbp8",0.926387547077034,-0.256801183065238,"blue"
"Fndc11",0.825354184993613,-0.313084587846239,"blue"
"Fndc8",0.866993843535536,-0.409655793744212,"blue"
"Fscn3",0.80606357629948,-0.301219959720318,"blue"
"Garin1a",0.898230712363761,-0.373454857158125,"blue"
"Garin5a",0.851944445760392,-0.323762366149414,"blue"
"Git1",0.881286936163768,-0.205321871525387,"blue"
"Glt1d1",0.825827463408616,-0.205336589979055,"blue"
"Gpat4",0.858227762794166,-0.20422274011748,"blue"
"Gpx4",0.829188225940051,-0.373746471852906,"blue"
"Grina",0.818582166656855,-0.230832280066122,"blue"
"H2aj",0.808746489059238,-0.40589234558975,"blue"
"Habp4",0.948508989024736,-0.388936495254685,"blue"
"Hipk4",0.810167516514724,-0.287408009050506,"blue"
"Hmgb4",0.850953399335239,-0.292854060637121,"blue"
"Hmox2",0.85156186782889,-0.354796069253064,"blue"
"Irgc",0.909935537353804,-0.375418890628359,"blue"
"Isyna1",0.804203715035451,-0.312211794122799,"blue"
"Klhdc3",0.890703510057697,-0.344605870362197,"blue"
"LOC102547352",0.873520262429609,-0.321537398394217,"blue"
"LOC102548134",0.835558628587626,-0.421140684804128,"blue"
"LOC102552318",0.805020410244448,-0.235750692793057,"blue"
"LOC102554478",0.814909804262448,-0.351748545755164,"blue"
"LOC120093676",0.811458274056784,-0.392332490921754,"blue"
"LOC290876",0.810335993482226,-0.352772539915734,"blue"
"LOC684444",0.811116417172219,-0.469607805582491,"blue"
"LOC687707",0.870886306177741,-0.245099578483632,"blue"
"Lipe",0.853098191473588,-0.322224317570447,"blue"
"Lrrc46",0.862528692320764,-0.240772271645771,"blue"
"Lrrc51",0.818557803875126,-0.343290679543798,"blue"
"MGC93861",0.924745081089409,-0.219161020803219,"blue"
"Mea1",0.847019779751686,-0.345989831633782,"blue"
